"","timestamp","gc.type","pause.time","young.occ.start","young.size.start","young.occ.end","young.size.end","survivor.start","survivor.end","heap.occ.start","heap.size.start","heap.occ.end","heap.size.end","old.occ.start","old.occ.end","old.size.start","old.size.end","promoRate","time.user","time.sys","time.real","allocationRate"
"1",584.231,"g1-young",0.315128,24000,24000,0,23000,0,560,24000,28000,558,28000,0,-2,4000,4440,440,4.2,0.02,0.31,NA
"2",610.781,"g1-young",0.105418,23000,23000,0,23000,560,648,24000,28000,644,28000,440,-4,4440,4352,-88,2.29,0.01,0.11,866.29
"3",631.295,"g1-young",0.117854,23000,23000,0,23000,648,728,24000,28000,728,28000,352,0,4352,4272,-80,2.67,0.02,0.12,1121.186
"4",648.532,"g1-young",0.118035,23000,23000,0,23000,728,800,24000,28000,796,28000,272,-4,4272,4200,-72,2.69,0,0.12,1334.339
"5",663.62,"g1-young",0.145108,23000,23000,0,23000,800,832,24000,28000,828,28000,200,-4,4200,4168,-32,3.18,0.02,0.14,1524.39
"6",677.403,"g1-young",0.138311,23000,23000,0,23000,832,880,24000,28000,880,28000,168,0,4168,4120,-48,3.25,0.01,0.13,1668.722
"7",690.418,"g1-young",0.168981,23000,23000,0,23000,880,952,24000,28000,952,28000,120,0,4120,4048,-72,3.91,0,0.17,1767.192
"8",702.938,"g1-young",0.157505,23000,23000,0,23000,952,1000,24000,28000,1000,28000,48,0,4048,4000,-48,3.47,0.01,0.16,1837.061
"9",715.068,"g1-young",0.159693,23000,23000,0,23000,1000,1040,24000,28000,1036,28000,0,-4,4000,3960,-40,3.74,0.01,0.16,1896.125
"10",726.938,"g1-young",0.163939,23000,23000,0,22000,1040,1080,24000,28000,1076,28000,-40,-4,3960,4920,960,3.91,0.01,0.17,1937.658
"11",738.478,"g1-young",0.174112,22000,22000,0,22000,1080,1120,24000,28000,1120,28000,920,0,4920,4880,-40,3.96,0.02,0.18,1906.412
"12",749.769,"g1-young",0.174866,22000,22000,0,22000,1120,1160,24000,28000,1160,28000,880,0,4880,4840,-40,4.1,0,0.18,1948.455
"13",760.806,"g1-young",0.176368,22000,22000,0,22000,1160,1184,24000,28000,1184,28000,840,0,4840,4816,-24,4.16,0.02,0.17,1993.295
"14",771.504,"g1-young",0.17752,22000,22000,0,22000,1184,1224,24000,28000,1224,28000,816,0,4816,4776,-40,4.08,0.02,0.18,2056.459
"15",782.034,"g1-young",0.172672,22000,22000,0,22000,1224,1272,24000,28000,1268,28000,776,-4,4776,4728,-48,4.06,0.01,0.17,2089.269
"16",792.416,"g1-young",0.249442,22000,22000,0,23000,1272,952,24000,28000,1308,28000,728,356,4728,4048,-680,5.62,0.06,0.25,2119.052
"17",802.861,"g1-young",0.160507,23000,23000,0,23000,952,920,24000,28000,1539,28000,48,619,4048,4080,32,3.82,0.02,0.16,2202.011
"18",813.013,"g1-young",0.143707,23000,23000,0,23000,920,888,24000,28000,1593,28000,80,705,4080,4112,32,3.29,0.01,0.14,2265.563
"19",823.026,"g1-young",0.147309,23000,23000,0,23000,888,888,24000,28000,1664,28000,112,776,4112,4112,0,3.23,0.03,0.14,2297.014
"20",832.941,"g1-young",0.152118,23000,23000,0,23000,888,880,24000,28000,1718,28000,112,838,4112,4120,8,3.45,0.01,0.15,2319.718
"21",842.826,"g1-young",0.192512,23000,23000,0,23000,880,904,24000,28000,1792,28000,120,888,4120,4096,-24,4.48,0.02,0.2,2326.758
